"Subject" "Activity" "Time_BodyAccMag_Mean" "Time_BodyAccMag_Std" "Time_GravityAccMag_Mean" "Time_GravityAccMag_Std" "Time_BodyAccJerkMag_Mean" "Time_BodyAccJerkMag_Std" "Time_BodyGyroMag_Mean" "Time_BodyGyroMag_Std" "Time_BodyGyroJerkMag_Mean" "Time_BodyGyroJerkMag_Std" "Freq_BodyAccMag_Mean" "Freq_BodyAccMag_Std" "Freq_BodyBodyAccJerkMag_Mean" "Freq_BodyBodyAccJerkMag_Std" "Freq_BodyBodyGyroMag_Mean" "Freq_BodyBodyGyroMag_Std" "Freq_BodyBodyGyroJerkMag_Mean" "Freq_BodyBodyGyroJerkMag_Std"
2 "WALKING" -0.290407593728814 -0.422544169322034 -0.290407593728814 -0.422544169322034 -0.281424153881356 -0.164150985127119 -0.446549092881356 -0.553019916271186 -0.547911950338983 -0.557798151355932 -0.324289427932203 -0.577105211694915 -0.169064352813559 -0.164091969449153 -0.530704814745763 -0.651792839661017 -0.583249293389831 -0.558104554745763
2 "WALKING_UPSTAIRS" -0.107322679520833 -0.205977045295833 -0.107322679520833 -0.205977045295833 -0.321268911041667 -0.21738939458125 -0.219713472958333 -0.377532167604167 -0.572816438541667 -0.597291719166667 -0.14531853915625 -0.36672824375 -0.189511136902083 -0.2604238389625 -0.450612184791667 -0.438620401875 -0.60079849625 -0.621820202916667
2 "WALKING_DOWNSTAIRS" 0.0899511204978723 0.215586334889362 0.0899511204978723 0.215586334889362 0.00565516335106383 0.22961718512766 -0.162188586930426 -0.274844110531915 -0.410872671489362 -0.343187875404255 0.293424826591489 -0.0214787881723404 0.222247409576596 0.227480732542553 -0.320838543553191 -0.372576755361702 -0.380175306489362 -0.343698985425532
2 "SITTING" -0.967893623913043 -0.953081444130435 -0.967893623913043 -0.953081444130435 -0.986774713043478 -0.984475868043478 -0.946035087173913 -0.961313624130435 -0.991081493913043 -0.989594919565217 -0.96127374826087 -0.955575602173913 -0.983874698913043 -0.984124185869565 -0.971840596086956 -0.961385745217391 -0.989861950869565 -0.989632908913043
2 "STANDING" -0.965875181296296 -0.957874965 -0.965875181296296 -0.957874965 -0.980489077407407 -0.976675280185185 -0.963466341851852 -0.95394338037037 -0.983951904259259 -0.977204427777778 -0.964052166481482 -0.960519381481482 -0.977065295555556 -0.97516046 -0.961775904814815 -0.956788725740741 -0.977849827407407 -0.977754298148148
2 "LAYING" -0.977435485208333 -0.972873912916667 -0.977435485208333 -0.972873912916667 -0.987741696041667 -0.98551807625 -0.950011569583333 -0.961164053958333 -0.991767074166667 -0.989718095208333 -0.975110196458333 -0.975121387916667 -0.985374114791667 -0.984568489166667 -0.972112972708333 -0.96109837875 -0.990248702291667 -0.989492660416667
4 "WALKING" -0.312050574166667 -0.527679103166667 -0.312050574166667 -0.527679103166667 -0.366700879833333 -0.316918956 -0.49779220106 -0.553116111166667 -0.6813040365 -0.7301463685 -0.450804558333333 -0.651172628166667 -0.318587811 -0.320458701 -0.609285588016667 -0.593937200833333 -0.724327420666667 -0.757768081166667
4 "WALKING_UPSTAIRS" -0.153703935357692 -0.212012300480769 -0.153703935357692 -0.212012300480769 -0.400922254807692 -0.437261477884615 -0.299779407884615 -0.510974134423077 -0.686978374423077 -0.755270457692308 -0.276825498230769 -0.301005898461538 -0.397406285 -0.497324087307692 -0.575794072115385 -0.552489628846154 -0.740749226346154 -0.794209483076923
4 "WALKING_DOWNSTAIRS" -0.0491616726733333 -0.0819559041111111 -0.0491616726733333 -0.0819559041111111 -0.228851413747333 -0.216858921977778 -0.3466062928 -0.3805726254 -0.592843014888889 -0.637079543555556 -0.01907433524 -0.263644030288889 -0.175295286557778 -0.280426776955556 -0.429213369555556 -0.457674088 -0.621752455777778 -0.685470931777778
4 "SITTING" -0.93569482 -0.9144078448 -0.93569482 -0.9144078448 -0.9701322836 -0.9625491104 -0.9260633138 -0.928898293 -0.9804904618 -0.9758066902 -0.929002095 -0.9198157096 -0.9625007338 -0.9615845194 -0.9487697524 -0.9288505544 -0.9765477634 -0.9762617538
4 "STANDING" -0.906478051785714 -0.890976683392857 -0.906478051785714 -0.890976683392857 -0.963370738392857 -0.958159482142857 -0.900982100535714 -0.885144317678571 -0.967614073928571 -0.964282784285714 -0.917614014821429 -0.895340042142857 -0.956139283571429 -0.96003249875 -0.914209165714286 -0.887194404285714 -0.964471139464286 -0.9664302175
4 "LAYING" -0.954557603148148 -0.931292216611111 -0.954557603148148 -0.931292216611111 -0.970095771666667 -0.960786430740741 -0.930236462592593 -0.947031781666667 -0.985068502037037 -0.982698213703704 -0.939389701296296 -0.937187975962963 -0.96228712537037 -0.958037119259259 -0.961556660185185 -0.947100325185185 -0.983609073333333 -0.982543631666667
9 "WALKING" -0.0980840496143461 -0.37942877 -0.0980840496143461 -0.37942877 -0.203733615519231 -0.317113487115385 -0.294542266826923 -0.489725811538462 -0.510253995769231 -0.599866472692308 -0.318801022711538 -0.513891953269231 -0.316870715576923 -0.322337536730769 -0.513797480384615 -0.562714528653846 -0.602581618269231 -0.624351923653846
9 "WALKING_UPSTAIRS" -0.260727581428571 -0.400222037142857 -0.260727581428571 -0.400222037142857 -0.440667540204082 -0.445485397959184 -0.0833234490061224 -0.425839761428571 -0.672840561836735 -0.748651255510204 -0.372890348979592 -0.509929461428571 -0.419533108571429 -0.484935752040816 -0.531482693877551 -0.456841325204082 -0.734159449387755 -0.787781590816326
9 "WALKING_DOWNSTAIRS" 0.145886357935714 0.265120131365238 0.145886357935714 0.265120131365238 -0.16237608927619 0.039907818552381 -0.168921400633333 -0.322331464761905 -0.469028434047619 -0.455855425238095 0.222203941 0.0888671674047619 0.00716877883571429 0.0705526138333333 -0.347540226666667 -0.424170737142857 -0.463172053809524 -0.485158906904762
9 "SITTING" -0.8933617176 -0.8637564342 -0.8933617176 -0.8637564342 -0.964383757 -0.9517802432 -0.9032355368 -0.9066063206 -0.9733641366 -0.9663610734 -0.8977181972 -0.8691725114 -0.9530504408 -0.9493949814 -0.9344377378 -0.9064712292 -0.9683155878 -0.9659970148
9 "STANDING" -0.945167482444444 -0.936105010444444 -0.945167482444444 -0.936105010444444 -0.969524578888889 -0.963764177777778 -0.921030223111111 -0.908291403111111 -0.969824044222222 -0.965287050888889 -0.946330171777778 -0.940265546444444 -0.963242884 -0.963593159555556 -0.929769067777778 -0.910909659555556 -0.967491628 -0.964770799111111
9 "LAYING" -0.9308684376 -0.91512680016 -0.9308684376 -0.91512680016 -0.9633745492 -0.9550268052 -0.9071250998 -0.8985578738 -0.964524819 -0.9528015598 -0.9266042952 -0.921929738394 -0.9543205856 -0.9550947122 -0.9186053356 -0.9034005814 -0.9558062546 -0.9522904702
10 "WALKING" -0.127400912069811 -0.185602396067925 -0.127400912069811 -0.185602396067925 -0.132624992298283 0.037608338009434 -0.156458730358491 -0.402025135660377 -0.440363636603774 -0.501027916603774 -0.0930237422792453 -0.370471943962264 0.0205189516981132 0.0502087634986792 -0.412616909622642 -0.499759796981132 -0.515065335849057 -0.517675799056604
10 "WALKING_UPSTAIRS" -0.0266623294757447 -0.211537480214383 -0.0266623294757447 -0.211537480214383 -0.262038042446809 -0.226010197889362 0.0438573846851064 -0.113062673542979 -0.523462968510638 -0.618272355319149 -0.166866721574468 -0.361437534680851 -0.153553147382979 -0.334365043829787 -0.265371689148936 -0.166969377765957 -0.600582998297872 -0.67129056212766
10 "WALKING_DOWNSTAIRS" 0.250843769394737 0.156998205421053 0.250843769394737 0.156998205421053 0.0507010228431579 0.110877231263158 -0.0238468037578947 -0.280382850552632 -0.401854311315789 -0.494105756315789 0.220115703368421 -0.0616742840815789 0.156978047052632 0.0380266696789474 -0.312347510289474 -0.387780104447368 -0.484196484736842 -0.544988519210526
10 "SITTING" -0.96075719962963 -0.939669591481481 -0.96075719962963 -0.939669591481481 -0.988054237592593 -0.985209856296296 -0.944202043703704 -0.963064577592593 -0.993707487592593 -0.991696196481481 -0.955281010740741 -0.941511952777778 -0.985900801111111 -0.983266741481482 -0.974459732592593 -0.962459956111111 -0.992191529259259 -0.991409100925926
10 "STANDING" -0.951988907954545 -0.937264537954545 -0.951988907954545 -0.937264537954545 -0.965163818409091 -0.952058214545455 -0.929787259772727 -0.920486810227273 -0.971637661590909 -0.964409410454545 -0.9401101675 -0.945048242954545 -0.951633690454545 -0.952105964545455 -0.937786743409091 -0.922961550454545 -0.965614081363636 -0.965055815454545
10 "LAYING" -0.956781819655172 -0.940301654482759 -0.956781819655172 -0.940301654482759 -0.976234435172414 -0.967556980689655 -0.937590998793103 -0.927471165517241 -0.970830848965517 -0.959632931551724 -0.950848109137931 -0.944304974655172 -0.968561121551724 -0.965377553448276 -0.937692642586207 -0.933701315344828 -0.960976821551724 -0.960772875517241
12 "WALKING" -0.102204550448 -0.23697286882 -0.102204550448 -0.23697286882 -0.144064922688 -0.02028505044 -0.35593036512 -0.4132083408 -0.5174937754 -0.5488904506 -0.153116002784 -0.4088962994 -0.029912425338 -0.013953908696 -0.442503784 -0.4948022154 -0.5611764414 -0.5649340126
12 "WALKING_UPSTAIRS" -0.229183927115385 -0.285844036153846 -0.229183927115385 -0.285844036153846 -0.432469300961538 -0.329827968269231 -0.316561585961538 -0.525686949063462 -0.674972132307692 -0.713406712307692 -0.290005418653846 -0.395285130961538 -0.3208844625 -0.346565141730769 -0.594032515192308 -0.564435086711538 -0.714332592115385 -0.733130764423077
12 "WALKING_DOWNSTAIRS" 0.0183139429630435 0.0972608274652174 0.0183139429630435 0.0972608274652174 -0.107091019565217 0.0655781271934783 -0.213351510686957 -0.32045862629 -0.442831079130435 -0.452449935 0.148017269434783 -0.105124972078261 0.0769968373 0.0420631251108696 -0.344938419969565 -0.423553971956522 -0.458227490826087 -0.486780424347826
12 "SITTING" -0.952176621372549 -0.947517100196078 -0.952176621372549 -0.947517100196078 -0.974734489803922 -0.972745892745098 -0.941907240784314 -0.946769241568627 -0.980392337647059 -0.978260535882353 -0.955944253137255 -0.950647188823529 -0.971715268627451 -0.972951443333333 -0.958511866666667 -0.948460978823529 -0.97848445372549 -0.979256387058824
12 "STANDING" -0.941459935081967 -0.935232945245902 -0.941459935081967 -0.935232945245902 -0.968790683278689 -0.962678857213115 -0.888101372786885 -0.852271618032787 -0.969289973606557 -0.961923171967213 -0.945217802786885 -0.939741929016393 -0.960859009508197 -0.964145595245902 -0.902356765573771 -0.850033171967213 -0.963059791967213 -0.962909739016393
12 "LAYING" -0.9482046755 -0.936542686833333 -0.9482046755 -0.936542686833333 -0.969843834166667 -0.962580915166667 -0.9308405935 -0.935725715833333 -0.971067768833333 -0.962012018333333 -0.9438674399 -0.942133255166667 -0.962448418666667 -0.961653004 -0.9454970225 -0.940373827666667 -0.963949607166667 -0.961911612333333
